RunDetails_FileName,RunDetails_FilePath,RunDetails_LoadNumber,RunDetails_Equipment,RunDetails_RunRecipe,RunDetails_RunStart,RunDetails_RunEnd,RunDetails_RunDuration,RunDetails_FileLength,RunDetails_OperatorName,RunDetails_ExportControl,RunDetails_IP,PartInformation_Index,PartInformation_WorkOrder,PartInformation_PartNumber,PartInformation_PartDescription,PartInformation_ToolLocation,PartInformation_Comment1,PartInformation_Comment2,PartInformation_Comment3,PartInformation_PartTCs,PartInformation_PartProbes
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,1,7845532,ACME-788,,,L 42,,,TC26,MON14
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,1,7845532,ACME-788,,,L 42,,,TC26,MON15
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,1,7845532,ACME-788,,,L 42,,,TC27,MON14
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,1,7845532,ACME-788,,,L 42,,,TC27,MON15
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,2,7846508,ACME-715,,,,,,TC29,MON8
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,2,7846508,ACME-715,,,,,,TC29,MON9
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,2,7846508,ACME-715,,,,,,TC30,MON8
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,2,7846508,ACME-715,,,,,,TC30,MON9
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,3,7845277,ACME-716,,,,,,,
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,4,7845269,ACME-717,,,,,,,
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,5,7845293,ACME-718,,,,,,,
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,6,7845273,ACME-713,,,,,,,
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,7,7845295,ACME-714,,,,,,,
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,8,7846513,ACME-719,,,,,,,
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,9,7845279,ACME-720,,,,,,,
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,10,7846515,ACME-723,,,,,,,
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,11,7845281,ACME-724,,,,,,,
AC3-06998.DAT,\\server1\AC3-DATA,AC3 - 5868,Autoclave #3,ACME High Pressure,2020-05-21T13:24:02,2020-05-21T16:28:37,184.58,389741,Victor,AU NSR,Third Party Disclosure Requires Written Approval,12,7846517,ACME-721,,,,,,,
