RunDetails_FileName,RunDetails_FilePath,RunDetails_LoadNumber,RunDetails_Equipment,RunDetails_RunRecipe,RunDetails_RunStart,RunDetails_RunEnd,RunDetails_RunDuration,RunDetails_FileLength,RunDetails_OperatorName,RunDetails_ExportControl,RunDetails_IP,PartInformation_Index,PartInformation_WorkOrder,PartInformation_PartNumber,PartInformation_PartDescription,PartInformation_ToolLocation,PartInformation_Comment1,PartInformation_Comment2,PartInformation_Comment3,PartInformation_PartTCs,PartInformation_PartProbes
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,1,8748596,ACME-740,,,L=43,,,TC18,MON9
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,1,8748596,ACME-740,,,L=43,,,TC19,MON9
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,2,8744551,ACME-741,,,L=73,,,TC16,MON8
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,2,8744551,ACME-741,,,L=73,,,TC17,MON8
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,3,8744553,ACME-742,,,,,,,
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,4,8744209,ACME-700,,,,,,TC29,MON3
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,4,8744209,ACME-700,,,,,,TC30,MON3
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,5,1918594,ACME-701,,,L=85,,,TC5,MON18
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,5,1918594,ACME-701,,,L=85,,,TC6,MON18
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,6,8744185,ACME-743,,,,,,TC9,MON16
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,6,8744185,ACME-743,,,,,,TC9,MON17
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,6,8744185,ACME-743,,,,,,TC10,MON16
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,6,8744185,ACME-743,,,,,,TC10,MON17
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,7,8744246,ACME-744,,,,,,,
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,8,8744186,ACME-745,,,,,,,
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,9,8744247,ACME-746,,,,,,,
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,10,8744215,ACME-709,,,L=38,P=3-4,,TC3,MON19
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,10,8744215,ACME-709,,,L=38,P=3-4,,TC3,MON20
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,10,8744215,ACME-709,,,L=38,P=3-4,,TC4,MON19
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,10,8744215,ACME-709,,,L=38,P=3-4,,TC4,MON20
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,11,8744217,ACME-711,,,,,,,
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,12,8744219,ACME-708,,,,,,,
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,13,8744211,ACME-706,,,,,,,
AC3-06994.DAT,\\server1\AC3-DATA,AC3 - 5864,Autoclave #3,ACME HIGH PRESSURE,2020-05-20T06:13:51,2020-05-20T22:22:57,969.10,356458,Dave,AU NSR,Third Party Disclosure Requires Written Approval,14,8744223,ACME-710,,,,,,,
