RunDetails_FileName,RunDetails_FilePath,RunDetails_LoadNumber,RunDetails_Equipment,RunDetails_RunRecipe,RunDetails_RunStart,RunDetails_RunEnd,RunDetails_RunDuration,RunDetails_FileLength,RunDetails_OperatorName,RunDetails_ExportControl,RunDetails_IP,PartInformation_Index,PartInformation_WorkOrder,PartInformation_PartNumber,PartInformation_PartDescription,PartInformation_ToolLocation,PartInformation_Comment1,PartInformation_Comment2,PartInformation_Comment3,PartInformation_PartTCs,PartInformation_PartProbes
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,1,8888691,ACME-800,,,L 1,P 5.6,,TC29,MON15
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,1,8888691,ACME-800,,,L 1,P 5.6,,TC30,MON15
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,2,8888766,ACME-801,,,L 1,P 3.4,,TC27,MON8
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,2,8888766,ACME-801,,,L 1,P 3.4,,TC28,MON8
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,3,8888802,ACME-802,,,L 40,,,TC25,MON9
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,3,8888802,ACME-802,,,L 40,,,TC26,MON9
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,4,8888630,ACME-803,,,L 2,P 1.2,,TC1,MON17
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,4,8888630,ACME-803,,,L 2,P 1.2,,TC2,MON17
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,5,8888664,ACME-804,,,L 2,P 3.4,,TC3,MON16
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,5,8888664,ACME-804,,,L 2,P 3.4,,TC4,MON16
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,6,8888677,ACME-805,,,L 2,P 5.6,,TC5,MON25
AC3-07001.DAT,\\server1\AC3-DATA,AC3 - 5871,Autoclave #3,ACME LOW TEMPS,2020-05-25T13:55:36,2020-05-25T23:01:11,545.58,111250,Victor,AU NSR,Third Party Disclosure Requires Written Approval,6,8888677,ACME-805,,,L 2,P 5.6,,TC6,MON25
